key,english,swahili
"documentVault.notesPlaceholder","Add any notes about this document...","Ongeza maelezo yoyote kuhusu hati hii..."
"documentVault.pickDocument","Pick Document","Chagua Hati"
"documentVault.takePickPhoto","Take/Pick Photo","Chukua/Chagua Picha"
"documentVault.saveAction","Save","Hifadhi"
"documentVault.typePassport","Passport","Pasipoti"
"documentVault.typeWorkPermit","Work Permit","Kibali cha Kazi"
"documentVault.typeContract","Contract","Mkataba"
"documentVault.typePayStub","Pay Stub","Malipo"
"documentVault.typeIdCard","ID Card","Kadi ya kitambulisho"
"documentVault.typeOther","Other","Nyingine"
"privateHome.loadingDashboard","Loading dashboard…","Inapakia dashibodi..."
"privateHome.authRequired","Authentication Required","Uthibitishaji Unahitajika"
"privateHome.unableToLoad","Unable to load dashboard","Imeshindwa kupakia dashibodi"
"privateHome.pleaseLogIn","Please log in to view your dashboard","Tafadhali ingia ili kutazama dashibodi yako"
"privateHome.retry","Retry","Jaribu tena"
"privateHome.sessionExpired","Session expired. Please log in again.","Kipindi kimekwisha. Tafadhali ingia tena."
"privateHome.profileIncompleteError","Your profile setup is incomplete. Please complete your profile to view full dashboard.","Usanidi wako wa wasifu haujakamilika. Tafadhali kamilisha wasifu wako ili kuona dashibodi kamili."
"privateHome.failedToLoad","Failed to load dashboard data","Imeshindwa kupakia data ya dashibodi"
"privateHome.completeSetupTitle","Finish your profile","Maliza wasifu wako"
"privateHome.completeSetupBody","Tap to complete your details and unlock all features.","Gusa ili kukamilisha maelezo yako na kufungua vipengele vyote."
"privateHome.overtimeApproved","✅ Overtime Approved","✅ Muda wa ziada Umeidhinishwa"
"privateHome.overtimeRejected","❌ Overtime Rejected","❌ Muda wa ziada Umekataliwa"
"privateHome.overtimeWarning","🚨 Overtime Warning","🚨 Onyo la Muda wa ziada"
"privateHome.overtimeWarningBody","You have exceeded {{hours}} hours. Notify your employer?","Umepita saa {{hours}}. Mjulishe mwajiri wako?"
"privateHome.notify","Notify","Arifu"
"privateHome.overtimeNotifiedEmployerMessage","Overtime limit ({{hours}}h) exceeded. Employee notified employer.","Kikomo cha muda wa ziada ({{hours}}h) kimepitwa. Mfanyikazi aliarifu mwajiri."
"privateHome.welcomeBack","Welcome back, {{name}}! 👋","Karibu tena, {{name}}! 👋"
"privateHome.totalHours","Total Hours","Jumla ya Masaa"
"privateHome.earningsToday","Today's Earnings","Mapato ya Leo"
"privateHome.earningsWeek","Week's Earnings","Mapato ya Wiki"
"privateHome.earningsMonth","Month's Earnings","Mapato ya Mwezi"
"privateHome.earnings6Months","6M Earnings","Mapato ya 6M"
"privateHome.earningsYear","Year's Earnings","Mapato ya Mwaka"
"privateHome.tasks","Tasks","Kazi"
"privateHome.timePeriod","Time Period","Kipindi cha Muda"
"privateHome.filterToday","Today","Leo"
"privateHome.filterThisWeek","This Week","Wiki hii"
"privateHome.filterThisMonth","This Month","Mwezi huu"
"privateHome.filter6Months","6 Months","Miezi 6"
"privateHome.filter1Year","1 Year","Mwaka 1"
"privateHome.quickActions","Quick Actions","Vitendo vya Haraka"
"privateHome.clockIn","Clock In","Saa Ndani"
"privateHome.quickTasks","Tasks","Kazi"
"privateHome.expenses","Expenses","Matumizi"
"privateHome.transfers","Transfers","Uhamisho"
"privateHome.calculator","Calculator","Kikokotoo"
"privateHome.settings","Settings","mipangilio"
"privateHome.payslips","Payslips","Payslips"
"privateHome.documentVault","Document Vault","Hazina ya Hati"
"privateHome.leaveRequest","Leave Request","Acha Ombi"
"privateHome.employeeFallbackName","Employee","Mfanyakazi"
"privateHome.openProfile","Open profile","Fungua wasifu"
"privateHome.countryLabel","Country","Nchi"
"privateHome.onMission","On mission","Kwenye misheni"
"privateHomeCards.greetingMorning","Morning","Asubuhi"
"privateHomeCards.greetingAfternoon","Afternoon","Alasiri"
"privateHomeCards.greetingEvening","Evening","Jioni"
"privateHomeCards.goodGreeting","Good {{greeting}}!","Nzuri {{greeting}}!"
"privateHomeCards.workingBadge","WORKING","KUFANYA KAZI"
"privateHomeCards.loading","Loading...","Inapakia..."
"privateHomeCards.welcomeBackName","Welcome back, {{name}}","Karibu tena, {{name}}"
"privateHomeCards.statusLoading","Loading your work data...","Inapakia data yako ya kazini..."
"privateHomeCards.statusExploring","Exploring mode - Complete profile to unlock all features","Hali ya Kuchunguza - Kamilisha wasifu ili kufungua vipengele vyote"
"privateHomeCards.statusReady","Ready to start tracking your work","Tayari kuanza kufuatilia kazi yako"
"privateHomeCards.statusWorking","You're currently clocked in","Umejiingiza kwa sasa"
"privateHomeCards.statusSummarySingular","Your work summary - {{count}} session tracked","Muhtasari wa kazi yako - {{count}} kipindi kimefuatiliwa"
"privateHomeCards.statusSummaryPlural","Your work summary - {{count}} sessions tracked","Muhtasari wa kazi yako - vipindi {{count}} vimefuatiliwa"
"privateHomeCards.estimated","Estimated","Inakadiriwa"
"privateHomeCards.activeTasks","Active Tasks","Kazi Amilifu"
"privateHomeCards.filterToday","Today","Leo"
"privateHomeCards.filterThisWeek","This Week","Wiki hii"
"privateHomeCards.filterThisMonth","This Month","Mwezi huu"
"privateHomeCards.filter6Months","6 Months","Miezi 6"
"privateHomeCards.filterThisYear","This Year","Mwaka Huu"
"privateHomeCards.quickActionsSubtitle","Access your most used features","Fikia vipengele vyako vilivyotumiwa zaidi"
"privateHomeCards.actionRightsTitle","Your Rights","Haki zako"
"privateHomeCards.actionRightsSubtitle","Knowledge & Rights History","Historia ya Maarifa na Haki"
"privateHomeCards.actionPayrollTitle","Payroll","Mishahara"
"privateHomeCards.actionPayrollSubtitle","View pay stubs and calculations","Tazama hesabu za malipo na hesabu"
"privateHomeCards.actionProfileTitle","Profile","Wasifu"
"privateHomeCards.actionProfileSubtitle","Update personal information","Sasisha maelezo ya kibinafsi"
"privateHomeCards.actionExpensesTitle","Expenses","Matumizi"
"privateHomeCards.actionExpensesSubtitle","Track and submit expenses","Fuatilia na uwasilishe gharama"
"privateHomeCards.actionTransfersTitle","Transfers","Uhamisho"
"privateHomeCards.actionTransfersSubtitle","Track money sent & received","Fuatilia pesa zilizotumwa na kupokewa"
"privateHomeCards.actionScheduleTitle","My Schedule","Ratiba Yangu"
"privateHomeCards.actionScheduleSubtitle","Manage and track your assignments","Dhibiti na ufuatilie kazi zako"
"privateHomeCards.actionWorkHistoryTitle","Work History","Historia ya Kazi"
"privateHomeCards.actionWorkHistorySubtitle","View detailed time tracking","Tazama ufuatiliaji wa kina wa wakati"
"privateHomeCards.actionLeaveTitle","Leave Request","Acha Ombi"
"privateHomeCards.actionLeaveSubtitle","Request time off & view status","Omba muda wa kupumzika na uangalie hali"
"privateHomeCards.actionDocumentsTitle","Document Vault","Hazina ya Hati"
"privateHomeCards.actionDocumentsSubtitle","Store passport, permit & contracts","Hifadhi pasipoti, kibali na mikataba"
"privateHomeCards.badgeActive","Active","Inayotumika"
"privateHomeCards.badgeApproved","Approved","Imeidhinishwa"
"privateHomeCards.totalEarnings","Total Earnings","Mapato Jumla"
"privateHomeCards.live","LIVE","LIVE"
"privateHomeCards.salaryMode","Salary","Mshahara"
"privateHomeCards.monthlySalaryLabel","Monthly salary","Mshahara wa kila mwezi"
"privateHomeCards.ofMonthlySalary","of {{amount}} monthly salary","ya {{amount}} mshahara wa mwezi"
"privateHomeCards.calculating","Calculating...","Inakokotoa..."
"privateHomeCards.setupRequired","Setup Required","Usanidi Unahitajika"
"privateHomeCards.configureSalary","Configure Salary →","Sanidi Mshahara →"
"privateHomeCards.noPayBasisConfigured","No salary set up yet — ask your employer to configure it.","Bado hakuna mshahara uliowekwa - muulize mwajiri wako kuusanidi."
"privateHomeCards.noClockinsThisPeriod","No completed shifts yet this period.","Bado hakuna zamu zilizokamilishwa katika kipindi hiki."
"privateHomeCards.fromSessionsSingular","From {{count}} active session","Kutoka {{count}} kipindi kinachoendelea"
"privateHomeCards.fromSessionsPlural","From {{count}} active sessions","Kutoka {{count}} vipindi vinavyotumika"
"privateHomeCards.totalHours","Total Hours","Jumla ya Masaa"
"privateHomeCards.baseRate","Base Rate","Kiwango cha Msingi"
"privateHomeCards.referenceRate","Reference Rate","Kiwango cha Marejeleo"
"privateHomeCards.perHour","/hr","/saa"
"privateHomeCards.payTypeFixed","Fixed Salary","Mshahara wa kudumu"
"privateHomeCards.payTypeHourly","Hourly Pay","Malipo ya Saa"
"privateHomeCards.detailedBreakdown","Detailed Breakdown","Uchambuzi wa Kina"
"privateHomeCards.regular","Regular","Mara kwa Mara"
"privateHomeCards.overtime","Overtime","Saa za Ziada"
"privateHomeCards.allowances","Allowances","Marupurupu"
"privateHomeCards.proRated","Pro-rated","Iliyokadiriwa"
"privateHomeCards.holidayPay","Holiday Pay","Malipo ya Likizo"
"privateHomeCards.timeTimeline","Time Timeline","Ratiba ya Wakati"
"privateHomeCards.todaysActivity","Today's Activity","Shughuli ya Leo"
"privateHomeCards.thisWeeksActivity","This Week's Activity","Shughuli ya Wiki Hii"
"privateHomeCards.viewAll","View All","Tazama Zote"
"privateHomeCards.viewMoreCount","View {{count}} more","Tazama {{count}} zaidi"
"privateHomeCards.stopSession","Stop Session","Acha Kikao"
"privateHomeCards.clockInNow","Clock In Now","Ingiza Saa Sasa"
"privateHomeCards.currentlyWorking","You are currently working","Unafanya kazi kwa sasa"
"privateHomeCards.readyToStart","Ready to start your day?","Je, uko tayari kuanza siku yako?"
"privateHomeCards.syncingTimeline","Syncing timeline...","Inasawazisha rekodi ya matukio..."
"privateHomeCards.noActivity","No activity recorded","Hakuna shughuli iliyorekodiwa"
"privateHomeCards.badgeOt","OT","OT"
"privateHomeCards.badgeHol","HOL","HOL"
"privateHomeCards.breakTaken","{{duration}} break taken","{{duration}} mapumziko yamechukuliwa"
"privateHomeCards.totalTracked","Total Tracked","Jumla Inayofuatiliwa"
"privateHomeCards.earningsVsExpenses","Earnings vs Expenses","Mapato dhidi ya Matumizi"
"privateHomeCards.monthlyOverview","Monthly overview","Muhtasari wa kila mwezi"
"privateHomeCards.earnings","Earnings","Mapato"
"privateHomeCards.expenses","Expenses","Matumizi"
"privateHomeCards.surplus","Surplus","Ziada"
"privateHomeCards.deficit","Deficit","Nakisi"
"privateHomeCards.hoursNeeded","You need ~{{count}} more hours to cover expenses","Unahitaji ~{{count}} saa zaidi ili kulipia gharama"
"privateHomeCards.completeProfile","Complete Your Profile","Kamilisha Wasifu Wako"
"privateHomeCards.profilePercent","{{percentage}}% complete — {{remaining}} fields remaining","{{percentage}}% imekamilika - {{remaining}} sehemu zimesalia"
"privateHomeCards.converting","Converting from {{currency}} • Rate: {{rate}}","Inabadilisha kutoka {{currency}} • Kadiria: {{rate}}"
"savingsGoal.title","Savings Goal","Lengo la Akiba"
"savingsGoal.tapToEdit","Tap to edit","Gusa ili kuhariri"
"savingsGoal.setGoal","Set Goal","Weka Lengo"
"savingsGoal.setTargetTitle","Set a monthly savings target","Weka lengo la kuokoa kila mwezi"
"savingsGoal.setTargetBody","Track how much you can save each month based on your earnings and expenses.","Fuatilia ni kiasi gani unaweza kuokoa kila mwezi kulingana na mapato na matumizi yako."
"savingsGoal.monthlyTarget","Monthly Target","Lengo la Mwezi"
"savingsGoal.availableToSave","Available to Save","Inapatikana kwa Kuhifadhi"
"savingsGoal.onTrack","On track! You can save {{amount}} extra this month.","Njiani! Unaweza kuhifadhi {{amount}} za ziada mwezi huu."
"savingsGoal.shortfall","{{amount}} short of your goal this month.","{{amount}} umepungukiwa na lengo lako mwezi huu."
"savingsGoal.expensesExceed","Expenses exceed earnings — review your budget.","Gharama zinazidi mapato - kagua bajeti yako."
"savingsGoal.editTitle","Edit Savings Goal","Badilisha Lengo la Akiba"
"savingsGoal.setTitle","Set Savings Goal","Weka Lengo la Kuokoa"
"savingsGoal.howMuch","How much do you want to save each month?","Unataka kuokoa kiasi gani kila mwezi?"
"savingsGoal.targetPlaceholder","Monthly savings target","Lengo la kuokoa kila mwezi"
"savingsGoal.availableAfter","You currently have {{amount}} available after expenses.","Kwa sasa una {{amount}} inapatikana baada ya gharama."
"savingsGoal.saveGoal","Save Goal","Hifadhi Lengo"
"tasksScreen.myTasks","My Tasks","Kazi zangu"
"tasksScreen.updatingTask","Updating Task…","Inasasisha Jukumu..."
"tasksScreen.syncingTasks","Syncing tasks…","Inasawazisha majukumu..."
"tasksScreen.activeThisWeek","{{count}} active this week","{{count}} inatumika wiki hii"
"tasksScreen.filterActive","Active","Inayotumika"
"tasksScreen.filterPending","Pending","Inasubiri"
"tasksScreen.filterStarted","Started","Imeanza"
"tasksScreen.filterDone","Done","Imekamilika"
"tasksScreen.allCaughtUp","All caught up!","Wote wamekamatwa!"
"tasksScreen.noTasksForFilter","No tasks found for this filter.","Hakuna kazi zilizopatikana za kichujio hiki."
"tasksScreen.completion","COMPLETION","KUKAMILIKA"
"tasksScreen.startTask","Start Task","Anza Kazi"
"tasksScreen.markComplete","Mark Complete","Weka alama kuwa umekamilika"
"tasksScreen.completed","Completed","Imekamilika"
"tasksScreen.viewFullSchedule","View Full Schedule","Tazama Ratiba Kamili"
"tasksScreen.priorityUrgent","Urgent","Haraka"
"tasksScreen.priorityHigh","High","Juu"
"tasksScreen.priorityMedium","Medium","Kati"
"tasksScreen.priorityLow","Low","Chini"
"tasksScreen.loadingTasks","Loading tasks…","Inapakia majukumu..."
"tasksScreen.subtitle","View and update your assigned tasks","Tazama na usasishe kazi ulizokabidhiwa"
"tasksScreen.taskOverview","Task Overview","Muhtasari wa Kazi"
"tasksScreen.statTotal","Total","Jumla"
"tasksScreen.statActive","Active","Inayotumika"
"tasksScreen.statDone","Done","Imekamilika"
"tasksScreen.statOverdue","Overdue","Imepitwa na wakati"
"tasksScreen.filterSortTitle","Filter & Sort Tasks","Chuja & Panga Majukumu"
"tasksScreen.statusPlaceholder","Status","Hali"
"tasksScreen.sortByPlaceholder","Sort By","Panga Kwa"
"tasksScreen.optAllTasks","All Tasks","Kazi Zote"
"tasksScreen.optActiveTasks","Active Tasks","Kazi Amilifu"
"tasksScreen.optPending","Pending","Inasubiri"
"tasksScreen.optStarted","Started","Imeanza"
"tasksScreen.optCompleted","Completed","Imekamilika"
"tasksScreen.optCancelled","Cancelled","Imeghairiwa"
"tasksScreen.optDate","Date","Tarehe"
"tasksScreen.optStatus","Status","Hali"
"tasksScreen.optTitle","Title","Kichwa"
"tasksScreen.sortOrder","Sort Order:","Panga Agizo:"
"tasksScreen.ascending","Ascending","Kupanda"
"tasksScreen.descending","Descending","Kushuka"
"tasksScreen.filterAll","All","Wote"
"tasksScreen.myTasksCount","My Tasks ({{count}})","Kazi Zangu ({{count}})"
"tasksScreen.noTasksFound","No tasks found","Hakuna kazi zilizopatikana"
"tasksScreen.adjustFilters","Try adjusting your filters to see more tasks","Jaribu kurekebisha vichujio vyako ili kuona majukumu zaidi"
"tasksScreen.noAssignedTasks","You currently have no assigned tasks","Kwa sasa huna kazi ulizokabidhiwa"
"tasksScreen.untitledTask","Untitled Task","Kazi Isiyo na Kichwa"
"tasksScreen.noDescription","No description provided","Hakuna maelezo yaliyotolewa"
"tasksScreen.noDateSet","No date set","Hakuna tarehe iliyowekwa"
"tasksScreen.dateToday","Today","Leo"
"tasksScreen.dateTomorrow","Tomorrow","Kesho"
"tasksScreen.dateYesterday","Yesterday","Jana"
"tasksScreen.badgeOverdue","OVERDUE","IMEPELEKA"
"tasksScreen.scheduleTask","Schedule Task","Ratiba Kazi"
"tasksScreen.myTaskStatus","My Task Status","Hali ya Kazi Yangu"
"tasksScreen.overallStatus","Overall task status:","Hali ya jumla ya kazi:"
"tasksScreen.teamProgress","Team Progress ({{done}}/{{total}} done)","Maendeleo ya Timu ({{done}}/{{total}} yamekamilika)"
"tasksScreen.you","You","Wewe"
"tasksScreen.myStatusLabel","My Status *","Hali yangu *"
"tasksScreen.markProgress","Mark your progress","Weka alama kwenye maendeleo yako"
"tasksScreen.selectPending","⏳  Pending","⏳ Inasubiri"
"tasksScreen.selectStarted","▶  Started","▶ Imeanza"
"tasksScreen.selectCompleted","✅  Completed","✅ Imekamilika"
"tasksScreen.ownStatusNote","Only your own status is updated. The overall task auto-completes when everyone is done.","Hali yako mwenyewe pekee ndiyo inasasishwa. Jukumu la jumla hukamilika kiotomatiki kila mtu anapomaliza."
"tasksScreen.employerMessage","Message from your employer","Ujumbe kutoka kwa mwajiri wako"
"tasksScreen.myNoteLabel","Your note","Ujumbe wako"
"tasksScreen.myNotePlaceholder","Anything you want your employer to know about this task…","Chochote unachotaka mwajiri wako kujua kuhusu kazi hii..."
"tasksScreen.saveMyStatus","Save My Status","Hifadhi Hali Yangu"
"tasksScreen.errorTitle","Error","Hitilafu"
"tasksScreen.failedToLoad","Failed to load tasks","Imeshindwa kupakia majukumu"
"tasksScreen.validationError","Validation Error","Hitilafu ya Uthibitishaji"
"tasksScreen.selectStatusError","Please select a status","Tafadhali chagua hali"
"tasksScreen.updateFailed","Update Failed","Usasishaji Umeshindwa"
"tasksScreen.taskUpdated","Task Updated","Kazi Imesasishwa"
"tasksScreen.taskUpdatedDesc","Task status updated successfully","Hali ya jukumu imesasishwa"
"tasksScreen.failedToUpdate","Failed to update task","Imeshindwa kusasisha jukumu"
"tasksScreen.statusPending","Pending","Inasubiri"
"tasksScreen.statusStarted","Started","Imeanza"
"tasksScreen.statusCompleted","Completed","Imekamilika"
"tasksScreen.statusCancelled","Cancelled","Imeghairiwa"
"calculator.tabManual","Manual","Mwongozo"
"calculator.tabClockIn","Clock-In","Saa-Ndani"
"calculator.tabLeave","Leave","Ondoka"
"calculator.done","Done","Imekamilika"
"calculator.startDate","Start Date","Tarehe ya Kuanza"
"calculator.endDate","End Date","Tarehe ya Mwisho"
"calculator.estimatedSalary","Estimated Salary","Makadirio ya Mshahara"
"calculator.monthlyNetPay","MONTHLY NET PAY","MALIPO YA NET YA MWEZI"
"calculator.estimatedNet","Estimated net","Wavu iliyokadiriwa"
"calculator.gross","GROSS","GROSS"
"calculator.hourly","HOURLY","HOURY"
"calculator.weekly","WEEKLY","KILA WIKI"
"calculator.biweekly","BI-WEEKLY","BI-WIKI"
"calculator.payBreakdown","PAY BREAKDOWN","LIPIA KUVUNJIKA"
"calculator.baseGross","Base Gross","Pato la Msingi"
"calculator.allowances","Allowances","Marupurupu"
"calculator.deductions","Deductions","Makato"
"calculator.netMonthly","Net Monthly","Net Kila Mwezi"
"calculator.manualTitle","Manual Calculator","Kikokotoo cha Mwongozo"
"calculator.manualSubtitle","Personalized estimation","Makadirio yaliyobinafsishwa"
"calculator.jobConfiguration","Job Configuration","Mpangilio wa Kazi"
"calculator.sector","Sector","Sekta"
"calculator.sectorHint","— search by name or keyword","- tafuta kwa jina au neno kuu"
"calculator.sectorPlaceholder","Search & select sector…","Tafuta na uchague sekta..."
"calculator.category","Category","Kitengo"
"calculator.categoryPlaceholderNoSector","Select a sector first","Chagua sekta kwanza"
"calculator.categoryPlaceholder","Search & select category…","Tafuta na uchague aina..."
"calculator.grade","Grade","Daraja"
"calculator.gradePlaceholder","Search & select grade…","Tafuta na uchague daraja..."
"calculator.yearsOfService","Years of Service","Miaka ya Huduma"
"calculator.yearSuffix"," yr","mwaka"
"calculator.yearsSuffix"," yrs","miaka"
"calculator.compensation","Compensation","Malipo"
"calculator.basicSalary","Basic Salary","Mshahara wa Msingi"
"calculator.selectJobDetails","Select job details above","Chagua maelezo ya kazi hapo juu"
"calculator.perMonthShort","/mo","/mo"
"calculator.perHourShort","/hr","/saa"
"calculator.productivityNote","Productivity used as rate ({{symbol}} per kg). Enter expected kg/month to compute monthly salary.","Tija inayotumika kama kiwango ({{symbol}} kwa kilo). Weka kilo/mwezi unaotarajiwa ili kukokotoa mshahara wa kila mwezi."
"calculator.expectedKgPlaceholder","Expected kg per month","Kilo inayotarajiwa kwa mwezi"
"calculator.productivityRate","Productivity rate:","Kiwango cha uzalishaji:"
"calculator.workDaysMonth","Work Days / Month","Siku za Kazi / Mwezi"
"calculator.days22","22 days","siku 22"
"calculator.days26","26 days","siku 26"
"calculator.auto","Auto","Otomatiki"
"calculator.daysEffective","{{count}} days effective","Siku {{count}} zinatumika"
"calculator.hoursMonth","Hours / Month","Saa / Mwezi"
"calculator.custom","Custom","Desturi"
"calculator.subStd","Std","St"
"calculator.subRed","Red","Nyekundu"
"calculator.subPart","Part","Sehemu"
"calculator.enterHours","Enter hours","Ingiza saa"
"calculator.decreaseHours","Decrease working hours","Punguza saa za kazi"
"calculator.increaseHours","Increase working hours","Kuongeza saa za kazi"
"calculator.adjustments","Adjustments","Marekebisho"
"calculator.allowancesRowSub","Monthly fixed additions","Nyongeza za kudumu za kila mwezi"
"calculator.adds","+ ADDS","+ ONGEZA"
"calculator.deductionsRowSub","Monthly fixed removals","Uondoaji uliowekwa kila mwezi"
"calculator.subs","− SUBS","− SUBS"
"calculator.computing","Computing…","Kompyuta..."
"calculator.calculateSalary","Calculate Salary","Hesabu mshahara"
"calculator.calculateAria","Calculate manual salary estimate","Kuhesabu makadirio ya mshahara wa mwongozo"
"calculator.selectSectorToBegin","Select a sector to begin","Chagua sekta ya kuanza"
"calculator.selectCategoryToContinue","Select a category to continue","Chagua kategoria ili kuendelea"
"calculator.completeJobDetails","Complete job details above","Kamilisha maelezo ya kazi hapo juu"
"calculator.clockInTitle","Clock-In Calculator","Kikokotoo cha Saa-Katika"
"calculator.basedOnRecords","Based on {{count}} time records","Kulingana na {{count}} rekodi za saa"
"calculator.profileMetrics","Profile Metrics","Vipimo vya Wasifu"
"calculator.monthlyBase","Monthly Base","Msingi wa Kila Mwezi"
"calculator.hourlyRate","Hourly Rate","Kiwango cha Saa"
"calculator.ratesDerived","Rates derived from verified profile settings","Viwango vinavyotokana na mipangilio ya wasifu iliyothibitishwa"
"calculator.calculationPeriod","Calculation Period","Kipindi cha Kuhesabu"
"calculator.periodWeekly","Weekly","Kila wiki"
"calculator.periodBiweekly","Bi-weekly","Kila wiki mbili"
"calculator.periodMonthly","Monthly","Kila mwezi"
"calculator.customDateRange","CUSTOM DATE RANGE","FUNGU LA TAREHE MAALUM"
"calculator.daysCount","{{count}} days","Siku {{count}}"
"calculator.from","FROM","KUTOKA"
"calculator.selectStartDate","Select start date","Chagua tarehe ya kuanza"
"calculator.to","TO","KWA"
"calculator.selectEndDate","Select end date","Chagua tarehe ya mwisho"
"calculator.historyLogs","History Logs","Kumbukumbu za Historia"
"calculator.recordsCount","{{count}} records","{{count}} rekodi"
"calculator.totalHours","Total Hours","Jumla ya Masaa"
"calculator.noLogsFound","No logs found.","Hakuna kumbukumbu zilizopatikana."
"calculator.noDataAvailable","No Data Available","Hakuna Data Inayopatikana"
"calculator.calculateEstimate","Calculate Estimate","Hesabu Kadirio"
"calculator.profileSummaryTitle","Your Profile","Wasifu wako"
"calculator.profileSummarySubtitle","Current salary configuration","Mpangilio wa sasa wa mshahara"
"calculator.statSalary","SALARY","MSHAHARA"
"calculator.statAllowances","ALLOWANCES","POSHO"
"calculator.statDaysPerMonth","DAYS/MO","SIKU/MO"
"clockIn.pageEyebrow","Time Tracking","Ufuatiliaji wa Wakati"
"clockIn.pageTitle","Clock In","Saa Ndani"
"clockIn.badgeGpsTracked","GPS tracked","GPS imefuatiliwa"
"clockIn.badgeRealtime","Real-time","Wakati halisi"
"clockIn.badgeLeaveRequests","Leave requests","Acha maombi"
"clockIn.buttonClockIn","Clock In","Saa Ndani"
"clockIn.buttonClockOut","Clock Out","Saa Nje"
"clockIn.buttonNoJob","No Job","Hakuna Kazi"
"clockIn.buttonNoLocation","No Location","Hakuna Mahali"
"clockIn.stillWorking","Still working","Bado inafanya kazi"
"clockIn.notClockedIn","Not clocked in","Haijafungwa"
"clockIn.elapsedLabel","Elapsed","Iliyopita"
"clockIn.elapsedSince","Since {{time}}","Tangu {{time}}"
"clockIn.untilClockOut","{{time}} until clock-out","{{time}} hadi kwisha"
"clockIn.clockOutSoon","Clock out in {{time}}","Saa nje katika {{time}}"
"clockIn.pastClockOut","Past scheduled clock-out","Saa iliyopangwa ya zamani"
"clockIn.warnNoJob","⚠️ No job profile found. Please complete your job setup first.","⚠️ Hakuna wasifu wa kazi uliopatikana. Tafadhali kamilisha usanidi wako wa kazi kwanza."
"clockIn.warnNoLocation","📍 Location access required for clock-in/out functionality.","📍 Idhini ya kufikia eneo inahitajika kwa utendakazi wa kuingia/kutoka."
"clockIn.takeBreakTitle","☕ Take a break!","☕ Pumzika!"
"clockIn.takeBreakBodyHM","You've been working for {{hours}}h {{minutes}}m without a break.","Umekuwa ukifanya kazi kwa {{hours}}h {{minutes}}m bila kupumzika."
"clockIn.takeBreakBodyH","You've been working for {{hours}}h without a break.","Umekuwa ukifanya kazi kwa {{hours}}h bila kupumzika."
"clockIn.startBreak","Start Break","Anza Mapumziko"
"clockIn.endBreak","End Break","Maliza Mapumziko"
"clockIn.overtimeButton","Overtime","Saa za Ziada"
"clockIn.statusClockedIn","Clocked In","Imeingia"
"clockIn.statusClockedOut","Clocked Out","Imetoka Saa"
"clockIn.statusOnBreak","On Break","Kwenye Mapumziko"
"clockIn.weeklyDashboard","Weekly Dashboard","Dashibodi ya Wiki"
"clockIn.weeklyDashboardSubtitle","Current week summary","Muhtasari wa wiki ya sasa"
"clockIn.seeMore","See More","Tazama Zaidi"
"clockIn.statHours","HOURS","SAA"
"clockIn.statDays","DAYS","Siku"
"clockIn.statEarned","EARNED","Imepatikana"
"clockIn.emptyHistoryTitle","No work sessions found for this week yet.","Bado hakuna vipindi vya kazi vilivyopatikana kwa wiki hii."
"clockIn.emptyHistoryHint","Clock in to start tracking your time","Ingia ili kuanza kufuatilia muda wako"
"clockIn.totalLabel","Total","Jumla"
"clockIn.netLabel","Net","Net"
"clockIn.breakLabel","Break","Kuvunja"
"clockIn.eventClockIn","Clock In","Saa Ndani"
"clockIn.eventClockOut","Clock Out","Saa Nje"
"clockIn.eventBreakStart","Break Start","Kuvunja Anza"
"clockIn.eventBreakEnd","Break End","Mwisho wa mapumziko"
"clockIn.breakSummary","Break: {{duration}}","Mapumziko: {{duration}}"
"clockIn.tabNewRequest","New Request","Ombi Jipya"
"clockIn.tabMyRequests","My Requests","Maombi Yangu"
"clockIn.quickSelectLabel","Quick Select","Chagua Haraka"
"clockIn.quickToday","Today","Leo"
"clockIn.quickThisWeek","This Week","Wiki hii"
"clockIn.quickNextWeek","Next Week","Wiki Ijayo"
"clockIn.quickThisMonth","This Month","Mwezi huu"
"clockIn.clearAction","Clear","Wazi"
"clockIn.daysSelectedSingular","day selected","siku iliyochaguliwa"
"clockIn.daysSelectedPlural","days selected","siku zilizochaguliwa"
"clockIn.leaveBalanceLabel","Leave Balance","Acha Mizani"
"clockIn.leaveTypeLabel","Leave Type","Acha Aina"
"clockIn.notesLabel","Notes (Optional)","Vidokezo (Si lazima)"
"clockIn.notesPlaceholder","Reason for leave...","Sababu ya kuondoka..."
"clockIn.submitRequest","Submit Request","Wasilisha Ombi"
"clockIn.submitWithCount","Submit ({{count}} day)","Wasilisha ({{count}} siku)"
"clockIn.submitWithCountPlural","Submit ({{count}} days)","Wasilisha ({{count}} siku)"
"clockIn.noRequestsTitle","No requests yet","Bado hakuna maombi"
"clockIn.noRequestsHint","Submit your first leave request using the New Request tab.","Wasilisha ombi lako la kwanza la likizo ukitumia kichupo cha Ombi Jipya."
"clockIn.leaveSuffix","Leave","Ondoka"
"clockIn.oneDay","1 day","siku 1"
"clockIn.fromLabel","FROM","KUTOKA"
"clockIn.toLabel","TO","KWA"
"clockIn.dayCountSuffix","{{count}}d","{{count}}d"
"clockIn.typeAnnual","Annual","Mwaka"
"clockIn.typeSick","Sick","Mgonjwa"
"clockIn.typeHoliday","Holiday","Likizo"
"clockIn.typeEmergency","Emergency","Dharura"
"clockIn.typePersonal","Personal","Binafsi"
